iter	Passed	Remaining
653	1085	574
654	1086	572
655	1087	570
656	1089	568
657	1090	566
658	1092	565
659	1093	563
660	1094	561
661	1096	559
662	1097	557
663	1098	555
664	1100	554
665	1101	552
666	1102	550
667	1103	548
668	1105	546
669	1106	544
670	1108	543
671	1109	541
672	1110	539
673	1111	537
674	1113	536
675	1114	534
676	1115	532
677	1117	530
678	1118	528
679	1119	526
680	1121	525
681	1122	523
682	1124	521
683	1125	519
684	1126	518
685	1128	516
686	1129	514
687	1130	512
688	1132	511
689	1133	509
690	1134	507
691	1135	505
692	1137	503
693	1139	502
694	1140	500
695	1142	498
696	1143	497
697	1144	495
698	1146	493
699	1147	491
700	1148	489
701	1149	488
702	1151	486
703	1152	484
704	1154	482
705	1155	481
706	1156	479
707	1158	477
708	1159	475
709	1160	474
710	1161	472
711	1163	470
712	1164	468
713	1165	466
714	1167	465
715	1168	463
716	1169	461
717	1170	459
718	1172	458
719	1173	456
720	1174	454
721	1175	452
722	1177	451
723	1178	449
724	1179	447
725	1181	445
726	1182	444
727	1184	442
728	1185	440
729	1186	438
730	1188	437
731	1189	435
732	1190	433
733	1191	431
734	1193	430
735	1194	428
736	1195	426
737	1196	424
738	1198	423
739	1199	421
740	1201	419
741	1202	418
742	1203	416
743	1205	414
744	1206	412
745	1207	411
746	1209	409
747	1210	407
748	1211	406
749	1213	404
750	1214	402
751	1215	400
752	1217	399
753	1218	397
754	1219	395
755	1220	394
756	1222	392
757	1223	390
758	1224	388
759	1225	387
760	1227	385
761	1228	383
762	1229	382
763	1231	380
764	1232	378
765	1233	376
766	1234	375
767	1236	373
768	1237	371
769	1238	370
770	1240	368
771	1241	366
772	1242	364
773	1244	363
774	1245	361
775	1246	359
776	1247	358
777	1249	356
778	1250	354
779	1251	353
780	1252	351
781	1254	349
782	1255	347
783	1256	346
784	1257	344
785	1259	342
786	1260	341
787	1262	339
788	1263	337
789	1264	336
790	1265	334
791	1267	332
792	1268	331
793	1269	329
794	1270	327
795	1272	326
796	1273	324
797	1275	322
798	1276	321
799	1278	319
800	1279	317
801	1280	316
802	1282	314
803	1283	312
804	1284	311
805	1285	309
806	1286	307
807	1288	306
808	1289	304
809	1291	302
810	1292	301
811	1293	299
812	1294	297
813	1296	296
814	1297	294
815	1298	292
816	1299	291
817	1301	289
818	1302	287
819	1303	286
820	1305	284
821	1306	282
822	1307	281
823	1309	279
824	1310	277
825	1311	276
826	1312	274
827	1314	273
828	1315	271
829	1316	269
830	1318	268
831	1319	266
832	1321	264
833	1322	263
834	1323	261
835	1325	259
836	1326	258
837	1327	256
838	1328	255
839	1330	253
840	1331	251
841	1332	250
842	1334	248
843	1335	246
844	1336	245
845	1338	243
846	1339	241
847	1340	240
848	1341	238
849	1343	237
850	1344	235
851	1345	233
852	1347	232
853	1348	230
854	1349	228
855	1351	227
856	1352	225
857	1353	224
858	1354	222
859	1356	220
860	1357	219
861	1358	217
862	1360	215
863	1361	214
864	1362	212
865	1363	211
866	1365	209
867	1366	207
868	1368	206
869	1369	204
870	1370	203
871	1372	201
872	1373	199
873	1374	198
874	1375	196
875	1377	194
876	1378	193
877	1379	191
878	1381	190
879	1382	188
880	1384	186
881	1385	185
882	1386	183
883	1387	182
884	1389	180
885	1390	178
886	1391	177
887	1393	175
888	1394	174
889	1395	172
890	1397	170
891	1398	169
892	1399	167
893	1401	166
894	1402	164
895	1403	162
896	1404	161
897	1406	159
898	1407	158
899	1408	156
900	1410	154
901	1411	153
902	1412	151
903	1414	150
904	1415	148
905	1416	146
906	1418	145
907	1419	143
908	1420	142
909	1421	140
910	1423	139
911	1424	137
912	1426	135
913	1427	134
914	1429	132
915	1430	131
916	1431	129
917	1433	128
918	1434	126
919	1435	124
920	1437	123
921	1438	121
922	1439	120
923	1440	118
924	1442	116
925	1443	115
926	1444	113
927	1446	112
928	1447	110
929	1448	109
930	1449	107
931	1451	105
932	1452	104
933	1453	102
934	1455	101
935	1456	99
936	1458	98
937	1459	96
938	1460	94
939	1461	93
940	1463	91
941	1464	90
942	1466	88
943	1467	87
944	1468	85
945	1470	83
946	1471	82
947	1473	80
948	1474	79
949	1476	77
950	1477	76
951	1478	74
952	1480	72
953	1481	71
954	1482	69
955	1483	68
956	1485	66
957	1486	65
958	1488	63
959	1489	62
960	1490	60
961	1491	58
962	1493	57
963	1494	55
964	1496	54
965	1497	52
966	1498	51
967	1499	49
968	1501	48
969	1502	46
970	1504	44
971	1505	43
972	1507	41
973	1508	40
974	1509	38
975	1511	37
976	1512	35
977	1513	34
978	1514	32
979	1515	30
980	1517	29
981	1519	27
982	1520	26
983	1521	24
984	1522	23
985	1524	21
986	1525	20
987	1526	18
988	1528	16
989	1529	15
990	1530	13
991	1531	12
992	1533	10
993	1534	9
994	1536	7
995	1537	6
996	1538	4
997	1540	3
998	1541	1
999	1542	0
